amp,sqamp
"1/3*i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*t_{MOMENTUM_0,INDEX_3}(p_1)_v^(*)*t_{MOMENTUM_1,INDEX_4}(p_3)_v*u_{MOMENTUM_2,INDEX_1}(p_4)_u^(*)*u_{MOMENTUM_3,INDEX_2}(p_2)_u/(m_t^2+-s_13+1/2*reg_prop)",1/9*e^4*(16*m_t^2*m_u^2 + (-8)*m_u^2*s_13 + 8*s_14*s_23 + (-8)*m_t^2*s_24 + 8*s_12*s_34)*(m_t^2 + -s_13 + 1/2*reg_prop)^(-2)
"2/9*i*e^2*gamma_{\INDEX_0,INDEX_1,INDEX_2}*gamma_{+\INDEX_0,INDEX_3,INDEX_4}*c_{MOMENTUM_0,INDEX_4}(p_4)_v*c_{MOMENTUM_1,INDEX_3}(p_3)_u^(*)*s_{MOMENTUM_2,INDEX_1}(p_2)_v^(*)*s_{MOMENTUM_3,INDEX_2}(p_1)_u/(m_s^2+2*s_12+s_22+reg_prop)",4/81*e^4*(16*m_c^2*m_s^2 + 8*m_c^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_s^2*s_34)*(m_s^2 + 2*s_12 + s_22 + reg_prop)^(-2)
"2/9*i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*s_{MOMENTUM_0,INDEX_3}(p_1)_v^(*)*s_{MOMENTUM_1,INDEX_4}(p_2)_u*u_{MOMENTUM_2,INDEX_2}(p_3)_v*u_{MOMENTUM_3,INDEX_1}(p_4)_u^(*)/(m_s^2+2*s_12+s_22+reg_prop)",4/81*e^4*(16*m_s^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_s^2*s_34)*(m_s^2 + 2*s_12 + s_22 + reg_prop)^(-2)
"-1/9*i*e^2*(p_2_\INDEX_0*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_2,INDEX_4}*gamma_{\INDEX_5,INDEX_6,INDEX_1}*A_{MOMENTUM_0,+\INDEX_5}(p_1)*A_{MOMENTUM_1,+\INDEX_3}(p_2)*s_{MOMENTUM_2,INDEX_6}(p_4)_u^(*)*s_{MOMENTUM_3,INDEX_4}(p_3)_v+(-2)*p_3_\INDEX_3*gamma_{\INDEX_5,INDEX_7,INDEX_8}*A_{MOMENTUM_0,+\INDEX_5}(p_1)*A_{MOMENTUM_1,+\INDEX_3}(p_2)*s_{MOMENTUM_2,INDEX_7}(p_4)_u^(*)*s_{MOMENTUM_3,INDEX_8}(p_3)_v)/(s_22+(-2)*s_23+reg_prop)",1/81*e^4*((-16)*m_s^2*s_22 + 8*s_23*s_24 + (-4)*s_22*s_34)*(s_22 + (-2)*s_23 + reg_prop)^(-2) + -1/81*i*e^2*(i*e^2*m_s^2*(16*s_23 + 8*s_24)/(s_22 + (-2)*s_23 + reg_prop) + (-16)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_22 + (-2)*s_23 + reg_prop))/(s_22 + (-2)*s_23 + reg_prop)
"-4/9*i*e^2*(p_2_\INDEX_0*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*gamma_{\INDEX_5,INDEX_2,INDEX_6}*A_{MOMENTUM_0,+\INDEX_3}(p_1)*A_{MOMENTUM_1,+\INDEX_5}(p_2)*u_{MOMENTUM_2,INDEX_4}(p_3)_u^(*)*u_{MOMENTUM_3,INDEX_6}(p_4)_v+(-2)*p_4_\INDEX_5*gamma_{\INDEX_3,INDEX_7,INDEX_8}*A_{MOMENTUM_0,+\INDEX_3}(p_1)*A_{MOMENTUM_1,+\INDEX_5}(p_2)*u_{MOMENTUM_2,INDEX_7}(p_3)_u^(*)*u_{MOMENTUM_3,INDEX_8}(p_4)_v)/(s_11+(-2)*s_13+reg_prop)",16/81*e^4*((-16)*m_u^2*s_22 + 8*s_23*s_24 + (-4)*s_22*s_34)*(s_11 + (-2)*s_13 + reg_prop)^(-2) + -128/81*i*e^2*(i*e^2*m_u^2*(s_23 + 2*s_24)/(s_11 + (-2)*s_13 + reg_prop) + (-2)*i*e^2*m_u^2*(m_u^2 + 1/2*s_34)/(s_11 + (-2)*s_13 + reg_prop))/(s_11 + (-2)*s_13 + reg_prop)
"2/9*i*e^2*(p_2_\INDEX_0*gamma_{\INDEX_1,INDEX_2,INDEX_3}*gamma_{+\INDEX_0,INDEX_4,INDEX_2}*gamma_{\INDEX_5,INDEX_6,INDEX_4}*A_{MOMENTUM_0,+\INDEX_1}(p_2)*A_{MOMENTUM_1,+\INDEX_5}(p_1)*c_{MOMENTUM_2,INDEX_6}(p_4)_u^(*)*c_{MOMENTUM_3,INDEX_3}(p_3)_v+(-2)*p_3_\INDEX_1*gamma_{\INDEX_5,INDEX_7,INDEX_8}*A_{MOMENTUM_0,+\INDEX_1}(p_2)*A_{MOMENTUM_1,+\INDEX_5}(p_1)*c_{MOMENTUM_2,INDEX_7}(p_4)_u^(*)*c_{MOMENTUM_3,INDEX_8}(p_3)_v)/(s_23+-1/2*reg_prop)",32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_c^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_c^2*(m_c^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
"4/9*i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*tt_{MOMENTUM_0,INDEX_1}(p_1)_v^(*)*tt_{MOMENTUM_1,INDEX_4}(p_2)_u*tt_{MOMENTUM_2,INDEX_2}(p_3)_v*tt_{MOMENTUM_3,INDEX_3}(p_4)_u^(*)/(m_tt^2+s_11+(-2)*s_13+reg_prop)",16/81*e^4*(16*m_tt^4 + (-8)*m_tt^2*s_13 + 8*s_14*s_23 + (-8)*m_tt^2*s_24 + 8*s_12*s_34)*(m_tt^2 + s_11 + (-2)*s_13 + reg_prop)^(-2)
"-1/3*i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*d_{MOMENTUM_0,INDEX_4}(p_4)_v*d_{MOMENTUM_1,INDEX_3}(p_2)_v^(*)*mu_{MOMENTUM_2,INDEX_2}(p_3)_v*mu_{MOMENTUM_3,INDEX_1}(p_1)_v^(*)/(m_mu^2+s_11+(-2)*s_13+reg_prop)",1/9*e^4*(16*m_d^2*m_mu^2 + (-8)*m_d^2*s_13 + 8*s_14*s_23 + (-8)*m_mu^2*s_24 + 8*s_12*s_34)*(m_mu^2 + s_11 + (-2)*s_13 + reg_prop)^(-2)
"-4/9*i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*c_{MOMENTUM_0,INDEX_1}(p_2)_v^(*)*c_{MOMENTUM_1,INDEX_2}(p_1)_u*u_{MOMENTUM_2,INDEX_3}(p_3)_u^(*)*u_{MOMENTUM_3,INDEX_4}(p_4)_v/(m_c^2+2*s_12+s_22+reg_prop)",16/81*e^4*(16*m_c^2*m_u^2 + 8*m_u^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + 2*s_12 + s_22 + reg_prop)^(-2)
"1/9*i*e^2*(p_3_\INDEX_0*gamma_{\INDEX_1,INDEX_2,INDEX_3}*A_{MOMENTUM_0,+\INDEX_0}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_1}(p_2)*b_{MOMENTUM_2,INDEX_3}(p_3)_v*b_{MOMENTUM_3,INDEX_2}(p_1)_v^(*)+1/2*p_4_\INDEX_4*gamma_{\INDEX_1,INDEX_5,INDEX_6}*gamma_{\INDEX_0,INDEX_7,INDEX_8}*gamma_{+\INDEX_4,INDEX_6,INDEX_7}*A_{MOMENTUM_0,+\INDEX_0}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_1}(p_2)*b_{MOMENTUM_2,INDEX_8}(p_3)_v*b_{MOMENTUM_3,INDEX_5}(p_1)_v^(*))/(s_12+1/2*s_22+1/2*reg_prop)",2/81*e^4*(s_14*s_34 + 2*m_b^2*s_44 + -1/2*s_13*s_44)*(s_12 + 1/2*s_22 + 1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_b^2*(m_b^2 + -1/2*s_13)/(s_12 + 1/2*s_22 + 1/2*reg_prop) + -1/2*i*e^2*m_b^2*(s_14 + (-2)*s_34)/(s_12 + 1/2*s_22 + 1/2*reg_prop))/(s_12 + 1/2*s_22 + 1/2*reg_prop)
"4/9*i*e^2*(m_u*gamma_{\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*A_{MOMENTUM_0,+\INDEX_3}(p_2)*A_{MOMENTUM_1,+\INDEX_0}(p_4)^(*)*u_{MOMENTUM_2,INDEX_4}(p_1)_v^(*)*u_{MOMENTUM_3,INDEX_2}(p_3)_v+-p_1_\INDEX_5*gamma_{\INDEX_0,INDEX_6,INDEX_7}*gamma_{+\INDEX_5,INDEX_8,INDEX_6}*gamma_{\INDEX_3,INDEX_9,INDEX_8}*A_{MOMENTUM_0,+\INDEX_3}(p_2)*A_{MOMENTUM_1,+\INDEX_0}(p_4)^(*)*u_{MOMENTUM_2,INDEX_9}(p_1)_v^(*)*u_{MOMENTUM_3,INDEX_7}(p_3)_v+-p_2_\INDEX_5*gamma_{\INDEX_0,INDEX_10,INDEX_11}*gamma_{+\INDEX_5,INDEX_12,INDEX_10}*gamma_{\INDEX_3,INDEX_13,INDEX_12}*A_{MOMENTUM_0,+\INDEX_3}(p_2)*A_{MOMENTUM_1,+\INDEX_0}(p_4)^(*)*u_{MOMENTUM_2,INDEX_13}(p_1)_v^(*)*u_{MOMENTUM_3,INDEX_11}(p_3)_v)/(m_u^2+-s_11+(-2)*s_12+-reg_prop)",256/81*e^4*m_u^2*(m_u^2 + 1/4*s_13)*(m_u^2 + -s_11 + (-2)*s_12 + -reg_prop)^(-2) + 4/81*e^4*(128*m_u^2*s_12 + s_11*(64*m_u^2 + 16*s_13) + 32*s_11*s_23 + 32*s_12*s_23)*(m_u^2 + -s_11 + (-2)*s_12 + -reg_prop)^(-2) + -256/81*e^4*m_u*(m_u*(s_11 + s_13) + m_u*(s_12 + s_23))*(m_u^2 + -s_11 + (-2)*s_12 + -reg_prop)^(-2)
"i*e^2*(p_1_\INDEX_0*gamma_{\INDEX_1,INDEX_2,INDEX_3}*A_{MOMENTUM_0,+\INDEX_0}(p_2)*A_{MOMENTUM_1,+\INDEX_1}(p_4)^(*)*t_{MOMENTUM_2,INDEX_3}(p_3)_v*t_{MOMENTUM_3,INDEX_2}(p_1)_v^(*)+1/2*p_2_\INDEX_4*gamma_{+\INDEX_4,INDEX_5,INDEX_6}*gamma_{\INDEX_0,INDEX_7,INDEX_5}*gamma_{\INDEX_1,INDEX_6,INDEX_8}*A_{MOMENTUM_0,+\INDEX_0}(p_2)*A_{MOMENTUM_1,+\INDEX_1}(p_4)^(*)*t_{MOMENTUM_2,INDEX_8}(p_3)_v*t_{MOMENTUM_3,INDEX_7}(p_1)_v^(*))/(s_12+1/2*reg_prop)",2*e^4*s_12*s_23*(s_12 + 1/2*reg_prop)^(-2) + (-4)*i*e^2*(i*e^2*m_t^2*(m_t^2 + -1/2*s_13)/(s_12 + 1/2*reg_prop) + 1/16*i*e^2*m_t^2*(16*s_12 + (-8)*s_23)/(s_12 + 1/2*reg_prop))/(s_12 + 1/2*reg_prop)
"1/9*i*e^2*(m_b*gamma_{\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*A_{MOMENTUM_0,+\INDEX_0}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_3}(p_2)*b_{MOMENTUM_2,INDEX_2}(p_3)_v*b_{MOMENTUM_3,INDEX_4}(p_1)_v^(*)+-p_1_\INDEX_5*gamma_{+\INDEX_5,INDEX_6,INDEX_7}*gamma_{\INDEX_0,INDEX_7,INDEX_8}*gamma_{\INDEX_3,INDEX_9,INDEX_6}*A_{MOMENTUM_0,+\INDEX_0}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_3}(p_2)*b_{MOMENTUM_2,INDEX_8}(p_3)_v*b_{MOMENTUM_3,INDEX_9}(p_1)_v^(*)+-p_2_\INDEX_5*gamma_{+\INDEX_5,INDEX_10,INDEX_11}*gamma_{\INDEX_0,INDEX_11,INDEX_12}*gamma_{\INDEX_3,INDEX_13,INDEX_10}*A_{MOMENTUM_0,+\INDEX_0}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_3}(p_2)*b_{MOMENTUM_2,INDEX_12}(p_3)_v*b_{MOMENTUM_3,INDEX_13}(p_1)_v^(*))/(m_b^2+-s_11+(-2)*s_12+-s_22+-reg_prop)",16/81*e^4*m_b^2*(m_b^2 + 1/4*s_13)*(m_b^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2) + 1/324*e^4*(128*m_b^2*s_12 + s_11*(64*m_b^2 + 16*s_13) + 64*m_b^2*s_22 + (-16)*s_13*s_22 + 32*s_11*s_23 + 32*s_12*s_23)*(m_b^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2) + -16/81*e^4*m_b*(m_b*(s_11 + s_13) + m_b*(s_12 + s_23))*(m_b^2 + -s_11 + (-2)*s_12 + -s_22 + -reg_prop)^(-2)
"4/9*i*e^2*(m_tt*gamma_{\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_2,INDEX_4}*A_{MOMENTUM_0,+\INDEX_0}(p_2)*A_{MOMENTUM_1,+\INDEX_3}(p_4)^(*)*tt_{MOMENTUM_2,INDEX_1}(p_1)_v^(*)*tt_{MOMENTUM_3,INDEX_4}(p_3)_v+-p_1_\INDEX_5*gamma_{\INDEX_0,INDEX_6,INDEX_7}*gamma_{\INDEX_3,INDEX_8,INDEX_9}*gamma_{+\INDEX_5,INDEX_7,INDEX_8}*A_{MOMENTUM_0,+\INDEX_0}(p_2)*A_{MOMENTUM_1,+\INDEX_3}(p_4)^(*)*tt_{MOMENTUM_2,INDEX_6}(p_1)_v^(*)*tt_{MOMENTUM_3,INDEX_9}(p_3)_v+-p_2_\INDEX_5*gamma_{\INDEX_0,INDEX_10,INDEX_11}*gamma_{\INDEX_3,INDEX_12,INDEX_13}*gamma_{+\INDEX_5,INDEX_11,INDEX_12}*A_{MOMENTUM_0,+\INDEX_0}(p_2)*A_{MOMENTUM_1,+\INDEX_3}(p_4)^(*)*tt_{MOMENTUM_2,INDEX_10}(p_1)_v^(*)*tt_{MOMENTUM_3,INDEX_13}(p_3)_v)/(m_tt^2+-s_11+(-2)*s_12+-reg_prop)",256/81*e^4*m_tt^2*(m_tt^2 + 1/4*s_13)*(m_tt^2 + -s_11 + (-2)*s_12 + -reg_prop)^(-2) + 4/81*e^4*(128*m_tt^2*s_12 + s_11*(64*m_tt^2 + 16*s_13) + 32*s_11*s_23 + 32*s_12*s_23)*(m_tt^2 + -s_11 + (-2)*s_12 + -reg_prop)^(-2) + -256/81*e^4*m_tt*(m_tt*(s_11 + s_13) + m_tt*(s_12 + s_23))*(m_tt^2 + -s_11 + (-2)*s_12 + -reg_prop)^(-2)
"4/9*i*e^2*(p_2_\INDEX_0*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*gamma_{\INDEX_5,INDEX_2,INDEX_6}*A_{MOMENTUM_0,+\INDEX_3}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_5}(p_2)*u_{MOMENTUM_2,INDEX_6}(p_3)_v*u_{MOMENTUM_3,INDEX_4}(p_1)_v^(*)+-p_3_\INDEX_0*gamma_{+\INDEX_0,INDEX_7,INDEX_8}*gamma_{\INDEX_3,INDEX_9,INDEX_7}*gamma_{\INDEX_5,INDEX_8,INDEX_10}*A_{MOMENTUM_0,+\INDEX_3}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_5}(p_2)*u_{MOMENTUM_2,INDEX_10}(p_3)_v*u_{MOMENTUM_3,INDEX_9}(p_1)_v^(*)+m_u*gamma_{\INDEX_3,INDEX_11,INDEX_12}*gamma_{\INDEX_5,INDEX_12,INDEX_13}*A_{MOMENTUM_0,+\INDEX_3}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_5}(p_2)*u_{MOMENTUM_2,INDEX_13}(p_3)_v*u_{MOMENTUM_3,INDEX_11}(p_1)_v^(*))/(m_u^2+-s_22+2*s_23+-s_33+-reg_prop)",256/81*e^4*m_u^2*(m_u^2 + 1/4*s_13)*(m_u^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*(64*m_u^2 + 16*s_13)*s_33/(m_u^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + (-64)*i*e^2*m_u^2*(s_13 + s_33)/(m_u^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_u^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -256/81*i*e^2*(i*e^2*m_u^2*(s_12 + s_23)/(m_u^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + 1/16*i*e^2*(16*m_u^2*s_22 + (-4)*s_13*s_22 + 8*s_12*s_23)/(m_u^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop) + -1/8*i*e^2*(16*m_u^2*s_23 + 4*s_12*s_33)/(m_u^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop))/(m_u^2 + -s_22 + 2*s_23 + -s_33 + -reg_prop)
"-4/9*i*e^2*(p_1_\INDEX_0*gamma_{\INDEX_1,INDEX_2,INDEX_3}*A_{MOMENTUM_0,+\INDEX_0}(p_2)*A_{MOMENTUM_1,+\INDEX_1}(p_4)^(*)*c_{MOMENTUM_2,INDEX_2}(p_3)_u^(*)*c_{MOMENTUM_3,INDEX_3}(p_1)_u+1/2*p_2_\INDEX_4*gamma_{+\INDEX_4,INDEX_5,INDEX_6}*gamma_{\INDEX_1,INDEX_7,INDEX_5}*gamma_{\INDEX_0,INDEX_6,INDEX_8}*A_{MOMENTUM_0,+\INDEX_0}(p_2)*A_{MOMENTUM_1,+\INDEX_1}(p_4)^(*)*c_{MOMENTUM_2,INDEX_7}(p_3)_u^(*)*c_{MOMENTUM_3,INDEX_8}(p_1)_u)/(s_12+1/2*reg_prop)",32/81*e^4*s_12*s_23*(s_12 + 1/2*reg_prop)^(-2) + -64/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_12 + 1/2*reg_prop) + 1/16*i*e^2*m_c^2*(16*s_12 + (-8)*s_23)/(s_12 + 1/2*reg_prop))/(s_12 + 1/2*reg_prop)
"2/9*i*e^2*(p_2_\INDEX_0*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_2,INDEX_4}*gamma_{\INDEX_5,INDEX_6,INDEX_1}*A_{MOMENTUM_0,+\INDEX_5}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_3}(p_2)*c_{MOMENTUM_2,INDEX_4}(p_3)_v*c_{MOMENTUM_3,INDEX_6}(p_1)_v^(*)+(-2)*p_3_\INDEX_3*gamma_{\INDEX_5,INDEX_7,INDEX_8}*A_{MOMENTUM_0,+\INDEX_5}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_3}(p_2)*c_{MOMENTUM_2,INDEX_8}(p_3)_v*c_{MOMENTUM_3,INDEX_7}(p_1)_v^(*))/(s_23+-1/2*reg_prop)",32/81*e^4*s_12*s_23*(s_23 + -1/2*reg_prop)^(-2) + -64/81*i*e^2*(i*e^2*m_c^2*(m_c^2 + -1/2*s_13)/(s_23 + -1/2*reg_prop) + 1/2*i*e^2*m_c^2*(s_12 + (-2)*s_23)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
"1/9*i*e^2*(m_d*gamma_{\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*A_{MOMENTUM_0,+\INDEX_0}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_3}(p_3)^(*)*d_{MOMENTUM_2,INDEX_2}(p_2)_u*d_{MOMENTUM_3,INDEX_4}(p_1)_v^(*)+-p_1_\INDEX_5*gamma_{\INDEX_0,INDEX_6,INDEX_7}*gamma_{\INDEX_3,INDEX_8,INDEX_9}*gamma_{+\INDEX_5,INDEX_9,INDEX_6}*A_{MOMENTUM_0,+\INDEX_0}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_3}(p_3)^(*)*d_{MOMENTUM_2,INDEX_7}(p_2)_u*d_{MOMENTUM_3,INDEX_8}(p_1)_v^(*)+p_3_\INDEX_5*gamma_{\INDEX_0,INDEX_10,INDEX_11}*gamma_{\INDEX_3,INDEX_12,INDEX_13}*gamma_{+\INDEX_5,INDEX_13,INDEX_10}*A_{MOMENTUM_0,+\INDEX_0}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_3}(p_3)^(*)*d_{MOMENTUM_2,INDEX_11}(p_2)_u*d_{MOMENTUM_3,INDEX_12}(p_1)_v^(*))/(m_d^2+-s_11+2*s_13+-s_33+-reg_prop)",4/81*e^4*(s_13*s_23 + (-2)*m_d^2*s_33 + -1/2*s_12*s_33)*(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop)^(-2) + 8/81*i*e^2*m_d*(i*e^2*m_d*(m_d^2 + -1/4*s_12)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + i*e^2*m_d*(s_13 + -s_23)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop))/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + 1/648*i*e^2*(i*e^2*s_11*(64*m_d^2 + (-16)*s_12)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + (-64)*i*e^2*m_d^2*(s_11 + -s_12)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop) + (-128)*i*e^2*(m_d^2*s_13 + -1/4*s_11*s_23)/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop))/(m_d^2 + -s_11 + 2*s_13 + -s_33 + -reg_prop)
"i*e^2*(p_2_\INDEX_0*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_3,INDEX_4,INDEX_1}*gamma_{\INDEX_5,INDEX_2,INDEX_6}*A_{MOMENTUM_0,+\INDEX_3}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_5}(p_2)*t_{MOMENTUM_2,INDEX_4}(p_1)_v^(*)*t_{MOMENTUM_3,INDEX_6}(p_3)_v+-p_3_\INDEX_0*gamma_{+\INDEX_0,INDEX_7,INDEX_8}*gamma_{\INDEX_3,INDEX_9,INDEX_7}*gamma_{\INDEX_5,INDEX_8,INDEX_10}*A_{MOMENTUM_0,+\INDEX_3}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_5}(p_2)*t_{MOMENTUM_2,INDEX_9}(p_1)_v^(*)*t_{MOMENTUM_3,INDEX_10}(p_3)_v+m_t*gamma_{\INDEX_3,INDEX_11,INDEX_12}*gamma_{\INDEX_5,INDEX_12,INDEX_13}*A_{MOMENTUM_0,+\INDEX_3}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_5}(p_2)*t_{MOMENTUM_2,INDEX_11}(p_1)_v^(*)*t_{MOMENTUM_3,INDEX_13}(p_3)_v)/(m_t^2+2*s_23+-s_33+-reg_prop)",16*e^4*m_t^2*(m_t^2 + 1/4*s_13)*(m_t^2 + 2*s_23 + -s_33 + -reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*(64*m_t^2 + 16*s_13)*s_33/(m_t^2 + 2*s_23 + -s_33 + -reg_prop) + (-64)*i*e^2*m_t^2*(s_13 + s_33)/(m_t^2 + 2*s_23 + -s_33 + -reg_prop))/(m_t^2 + 2*s_23 + -s_33 + -reg_prop) + (-8)*i*e^2*(i*e^2*s_12*s_23/(m_t^2 + 2*s_23 + -s_33 + -reg_prop) + 2*i*e^2*m_t^2*(s_12 + s_23)/(m_t^2 + 2*s_23 + -s_33 + -reg_prop) + -1/4*i*e^2*(16*m_t^2*s_23 + 4*s_12*s_33)/(m_t^2 + 2*s_23 + -s_33 + -reg_prop))/(m_t^2 + 2*s_23 + -s_33 + -reg_prop)
"2/3*i*e^2*gamma_{+\INDEX_0,INDEX_1,INDEX_2}*gamma_{\INDEX_0,INDEX_3,INDEX_4}*e_{MOMENTUM_0,INDEX_2}(p_3)_v*e_{MOMENTUM_1,INDEX_1}(p_1)_v^(*)*tt_{MOMENTUM_2,INDEX_4}(p_2)_u*tt_{MOMENTUM_3,INDEX_3}(p_4)_u^(*)/(s_11+(-2)*s_13+s_33+reg_prop)",4/9*e^4*(16*m_e^2*m_tt^2 + (-8)*m_tt^2*s_13 + 8*s_14*s_23 + (-8)*m_e^2*s_24 + 8*s_12*s_34)*(s_11 + (-2)*s_13 + s_33 + reg_prop)^(-2)
"2/9*i*e^2*gamma_{\INDEX_0,INDEX_1,INDEX_2}*gamma_{+\INDEX_0,INDEX_3,INDEX_4}*c_{MOMENTUM_0,INDEX_3}(p_1)_v^(*)*c_{MOMENTUM_1,INDEX_4}(p_2)_u*s_{MOMENTUM_2,INDEX_1}(p_4)_u^(*)*s_{MOMENTUM_3,INDEX_2}(p_3)_v/(s_11+2*s_12+s_22+reg_prop)",4/81*e^4*(16*m_c^2*m_s^2 + 8*m_s^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(s_11 + 2*s_12 + s_22 + reg_prop)^(-2)
"4/9*i*e^2*(p_2_\INDEX_0*gamma_{\INDEX_1,INDEX_2,INDEX_3}*A_{MOMENTUM_0,+\INDEX_1}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_0}(p_3)^(*)*u_{MOMENTUM_2,INDEX_3}(p_2)_u*u_{MOMENTUM_3,INDEX_2}(p_1)_v^(*)+-1/2*p_3_\INDEX_4*gamma_{\INDEX_1,INDEX_5,INDEX_6}*gamma_{\INDEX_0,INDEX_7,INDEX_8}*gamma_{+\INDEX_4,INDEX_6,INDEX_7}*A_{MOMENTUM_0,+\INDEX_1}(p_4)^(*)*A_{MOMENTUM_1,+\INDEX_0}(p_3)^(*)*u_{MOMENTUM_2,INDEX_8}(p_2)_u*u_{MOMENTUM_3,INDEX_5}(p_1)_v^(*))/(s_23+-1/2*reg_prop)",16/81*e^4*s_13*s_23*(s_23 + -1/2*reg_prop)^(-2) + 32/81*i*e^2*(i*e^2*m_u^2*(m_u^2 + 1/2*s_12)/(s_23 + -1/2*reg_prop) + -1/2*i*e^2*m_u^2*(s_13 + 2*s_23)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
